Category,Sub Category,Ward Name
veterinary,Animal Rescue - Not well - Requires attention,Shankaramata
Road Maintenance(Engg),Debris Removal / Construction Material,Devarajeevanahalli
veterinary,Animal Rescue - Not well - Requires attention,Shivaji Nagar
Health Dept,Spraying,Subramanya Nagar
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Vannarpet
E khata / Khata services,ekhata approval pending with ARO,Marappana Palya
Health Dept,Fogging,Adugodi
Forest,Issues related Snakes/Birds/Monkeys,Vasanthapura
Road Maintenance(Engg),UnAuthorised Constructions,Ganga Nagar
Property Tax services,Other property tax issues,Jayamahal
Road Maintenance(Engg),UnAuthorised Constructions,Marathalli
Electrical,Requirement For New Street Lights,Puttenahalli
Health Dept,Air/Noise pollution,Marathalli
Parks and Play grounds,Gym/Children Play equipment in the parks,Sri Rammandira
Health Dept,Zonal Violation of the Building,Jaraganahalli
Water Crisis,Water related issue,Puttenahalli
Forest,Issues related Snakes/Birds/Monkeys,Someshwara
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Nagapura
E khata / Khata services,Ekhata - name correction,Dharmarayaswamy Temple Ward
Health Dept,Spraying,Vidyaranyapura
Road Maintenance(Engg),footpath encroachment,Sarvagna Nagar
veterinary,Animal caught disease post surgery,Bommanahalli
Electrical,Requirement For New Street Lights,Hosakerehalli
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Kadugondanahalli
E khata / Khata services,Other Khata / ekhata issues,H.M.T
Health Dept,Fogging,Kamakshipalya
veterinary,Request for New feeder Points,Jnanabharathi Ward
Health Dept,Spraying,Nandini Layout
Water Crisis,Water related issue,Kodigehalli
Sanitation,Urination in Public/Open Defecation,Gottigere
Health Dept,Fogging,Gottigere
Road Maintenance(Engg),Road cutting,Kaveripura
Forest,Issues related Snakes/Birds/Monkeys,Vidyaranyapura
veterinary,Request for New feeder Points,Kengeri
veterinary,Awareness session / Request for a session,Kengeri
veterinary,Animal Cruelty/Relocated,Kengeri
Road Maintenance(Engg),Road cutting,Sarvagna Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Ramamurthy Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Karisandra
Solid Waste (Garbage) Related,Public dustbins not cleaned,Sarakki
veterinary,Street dogs attacking-pet Dogs,Jakkur
Lakes,Sewage inflow to lake,Garudacharpalya
veterinary,Pet dog licence,Chokkasandra
Town Planning,Noise during Building Construction,Chikpete
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Hongasandra
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Hongasandra
Storm  Water Drain(SWD),Sewerage water left in SWD,Basavanapura
Advertisement,Unsafe Hoardings,Malleshwaram
Advertisement,Flex and banners,Malleshwaram
Advertisement,Flex and banners,Sanjay Nagar
Town Planning,UnAuthorised Building Constructions,Malleshwaram
Health Dept,Increase in mosquito density,Kamakshipalya
Health Dept,Spraying,Vannarpet
Health Dept,Increase in mosquito density,J.P.Nagar
Road Maintenance(Engg),UnAuthorised Constructions,Nagavara
veterinary,shifting of the street dogs to other places,Kottigepalya
Road Maintenance(Engg),Debris Removal / Construction Material,A.Narayanapura
Revenue Department,Unable to Generate the receipt after property tax payment.,Pulikeshi Nagar
Electrical,Requirement For New Street Lights,Vijanapura
Storm  Water Drain(SWD),Maintenance of SWD,Gottigere
Revenue Department,Unable to generate the property tax challan,Padarayanapura
Storm  Water Drain(SWD),Sewerage water left in SWD,Ulsoor
Storm  Water Drain(SWD),Maintenance of SWD,A.Narayanapura
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Mahalakshmipuram
Indira Canteen,Food Quantity,Kodigehalli
Call Center,Call center Issues,Rajagopala Nagar
Road Maintenance(Engg),water stagnation,Konena Agrahara
Traffic Engineer Cell (TEC),TEC,Horamavu
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Varthur
veterinary,Animal Cruelty/Ill-Treated / Abused,Sanjay Nagar
Property Tax services,Other property tax issues,Begur
Health Dept,Fogging,Shiva Nagar
veterinary,Dog bite pet dog,Vannarpet
veterinary,Animal Rescue - Not well - Requires attention,Cottonpet
Road Maintenance(Engg),Road side drains,Mathikere
Revenue Department,Unable to generate the property tax challan,Malleshwaram
veterinary,Animal caught disease post surgery,K.R.Puram
Revenue Department,Unable to generate the property tax challan,Chamrajpet
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Kottigepalya
veterinary,Dog bite pet dog,Banaswadi
Electrical,Open Electrical Junction Box,Hombegowda Nagar
Health and Sanitation,Shankar Murthy/HS,,
veterinary,Animal Cruelty/Relocated,Hemmigepura
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Singasandra
Solid Waste (Garbage) Related,Public dustbins not cleaned,K.R.Puram
veterinary,Stray dog related complaints,Chalavadipalya
Health Dept,Birth & Death Registration,Konena Agrahara
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Chowdeshwari Ward
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Nayandanahalli
Health Dept,Spraying,Pulikeshi Nagar
Plastic,Use of banned single use plastic,Doddanekkundi
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Binnipet
Health Dept,Delay in issue of Trade licence,Sampangiram Nagar
veterinary,Anti Rabies Vaccination of stray dogs,Kodigehalli
veterinary,Animal Rescue - Not well - Requires attention,J.P.Park
Health Dept,Unhygienic  premises in hospital,Kengeri
Water Crisis,Water related issue,Sarvagna Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Ramamurthy Nagar
E khata / Khata services,Khata / Ekhata mutation / transfer,Singasandra
Others,Others,Radhakrishna Temple
Health Dept,Dengue positive,Jagajeevanram Nagar
Road Maintenance(Engg),UnAuthorised Constructions,Siddapura
veterinary,Animal caught disease post surgery,Gali Anjaneya Swamy Temple Ward
veterinary,"Pet licensing / Pet shop licensing  / Breeder licensing ",Hagadooru
Health Dept,Unhygienic premises in Hotel etc,Katriguppe
Road Maintenance(Engg),footpath encroachment,Shanthi Nagar
veterinary,Illegal pet shop / Animal cruelty / license check,Kumaraswamy Layout
Road Maintenance(Engg),footpath encroachment,Hebbal
ಸಹಾಯಕ ಕಂದಾಯ ಅದಿಕಾರಿ ಕೆಂಗೇರಿ ಉಪ ವಿಭಾಗ ರವರು ತಮ್ಮ ಅರ್ಜಿಯನ್ನು ಈ ಕೂಡಲೇ Approve ಮಾಡಲು ಆಧೇಶಿಸಲಾಗಿದೆ.,Lokamatha /RO,,
Road Maintenance(Engg),water leakage on road,J.P.Nagar
Currently this property available in Case Worker(cw_72_5_1_bbmp; cw_72_5_2_bbmp; cw_72_5_3_bbmp; cw_72_5_4_bbmp; cw_72_5_5_bbmp; cw_72_s1_bbmp; cw_72_s2_bbmp; cw_72_s3_bbmp; cw_72_s4_bbmp; cw_72_s5_bbmp) forward list.,S SURESH/ARO,,
Sanitation,Public toilet(s) cleaning,Jagajeevanram Nagar
Advertisement,Flex and banners,Bapuji Nagar
Health Dept,Delay in issue of Trade licence,Kempapura Agrahara
E khata / Khata services,Khata / Ekhata mutation / transfer,T-Dasarahalli
veterinary,Animal caught disease post surgery,Sampangiram Nagar
Advertisement,Flex and banners,Chokkasandra
Advertisement,Flex and banners,Singasandra
Sanitation,Public toilet(s) cleaning,Hoodi
Road Maintenance(Engg),footpath encroachment,Gali Anjaneya Swamy Temple Ward
E khata / Khata services,Ekhata in previous owner name,Herohalli
Property Tax services,Other property tax issues,Shanthi Nagar
Electrical,Open Electrical Junction Box,Doddanekkundi
E khata / Khata services,ekhata approval pending with ARO,Mallasandra
veterinary,Aged street dogs please take action,Dattathreya Temple
Town Planning,UnAuthorised Building Constructions,Kodigehalli
veterinary,Animal birth control/neutering of stray dogs,Hosahalli
Health Dept,Spraying,Kempapura Agrahara
Road Maintenance(Engg),water leakage on road,Garudacharpalya
veterinary,Anti Rabies Vaccination of stray dogs,Madiwala
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Mangammanapalya
veterinary,Stray cattle related complaints,Bapuji Nagar
veterinary,Stray cattle related complaints,Attiguppe
Town Planning,Noise during Building Construction,Puttenahalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Shiva Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Neelasandra
Markets,Violation of rules by Shop rent / Leaser,Yelachenahalli
Electrical,Park Lights Not Working,Hoysala Nagar
Advertisement,Unsafe Hoardings,Pattabhiram Nagar
veterinary,Anti Rabies Vaccination of stray dogs,Gangenahalli
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Nagapura
Electrical,Requirement For New Street Lights,Doddabommasandra
Advertisement,Unsafe Hoardings,J.P.Nagar
veterinary,Street dog Adaptation process details,Hoodi
Road Maintenance(Engg),UnAuthorised Constructions,Neelasandra
Indira Canteen,Others,Hoodi
Health Dept,Dengue positive,Padarayanapura
Health Dept,Dengue positive,Kaveripura
Sanitation,No electricity in public toilet(s),Shanthala Nagar
veterinary,Anti Rabies Vaccination of stray dogs,Govindraja Nagara
veterinary,shifting of the street dogs to other places,C.V.Raman Nagar
Health Dept,Fogging,Chalavadipalya
Property Tax services,Other property tax issues,H.M.T
Parks and Play grounds,Play Grounds,Sagayapuram
Indira Canteen,Food Quality,Kodigehalli
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Koramangala
veterinary,Dog, cat Poor conditions / Breeding license validation,Kadugondanahalli
Health Dept,Fogging,Agrahara Dasarahalli
veterinary,Animal caught disease post surgery,Kengeri
Solid Waste (Garbage) Related,Dead animal(s),Yelahanka old Satellite Town
Revenue Department,Others (JC),Jnanabharathi Ward
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Shankaramata
Property Tax services,Other property tax issues,Doddabommasandra
veterinary,Dog, cat Poor conditions / Breeding license validation,Chokkasandra
veterinary,Animal caught disease post surgery,Peenya Industrial Area
veterinary,Stray dog related complaints,Mallasandra
veterinary,Street dogs attacking-pet Dogs,Doddanekkundi
E khata / Khata services,Technical Issue In Ekhata,Maruthi Seva Nagar
veterinary,Animal Rescue - Not well - Requires attention,Dattathreya Temple
veterinary,Fatally injured - Needs immediate attention,Kammanahalli
veterinary,Animal caught disease post surgery,Jeevanbhima Nagar
veterinary,Street dogs attacking-pet Dogs,Ullalu
Advertisement,Flex and banners,A.Narayanapura
Indira Canteen,Food Quality,Shankaramata
Electrical,Street Lights Switched On During Day Time,Manorayanapalya
Indira Canteen,Food Quality,Nayandanahalli
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Katriguppe
veterinary,Stray cattle related complaints,Cottonpet
veterinary,Anti Rabies Vaccination of stray dogs,Mathikere
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Herohalli
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Bommanahalli
Information Technology,App Related Issues,Benniganahalli
Road Maintenance(Engg),Overhanging cables,Jogupalya
Plastic,Use of banned single use plastic,Gottigere
Revenue Department,Unable to generate the property tax challan,Hanumantha Nagar
Road Maintenance(Engg),water leakage on road,Yelahanka old Satellite Town
Electrical,Street Lights Switched On During Day Time,K.R.Puram
Water Crisis,Water related issue,Vijanapura
Forest,Issues related Snakes/Birds/Monkeys,Rajarajeshwari Nagar
Property Tax services,Issues in property tax portal,Newthippasandra
Town Planning,UnAuthorised Building Constructions,Dodda Bidarkallu
Road Maintenance(Engg),footpath encroachment,Vijay Nagar
E khata / Khata services,Ekhata in previous owner name,Karisandra
E khata / Khata services,Khata / Ekhata mutation / transfer,Konena Agrahara
veterinary,Request for ABC,K.R.Puram
Electrical,Open Electrical Junction Box,Herohalli
veterinary,Animal Rescue - Not well - Requires attention,Subhash Nagar
veterinary,Stray cattle related complaints,Ejipura
veterinary,Dog bite pet dog,Kottigepalya
veterinary,Animal caught disease post surgery,Gottigere
Road Maintenance(Engg),footpath encroachment,Deepanjali Nagar
veterinary,Stray cattle related complaints,Sarakki
Health Dept,Spraying,Chokkasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jayamahal
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Sri Rammandira
E khata / Khata services,Other Khata / ekhata issues,Kacharakanahalli
Health Dept,Increase in mosquito density,Shiva Nagar
Health Dept,Spraying,Kottigepalya
Revenue Department,Unable to generate the property tax challan,Anjanapur
Road Maintenance(Engg),Potholes,Devarajeevanahalli
veterinary,Street dogs attacking-pet Dogs,HSR Layout
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Rajamahal
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Rajamahal
veterinary,Anti Rabies Vaccination of stray dogs,Gali Anjaneya Swamy Temple Ward
Others,Others,Marappana Palya
veterinary,Stray/Rabid dog bite,Dr.Rajkumar Ward
Road Maintenance(Engg),Footpath,Devarajeevanahalli
Traffic Engineer Cell (TEC),TEC,Kuvempu Nagar
Projects Central,Road furnitures,Kodigehalli
Road Maintenance(Engg),Footpath,Dayananda Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Kempegowda Ward
Road Infrastructure,Road Infrastructure,Katriguppe
Road Maintenance(Engg),footpath encroachment,Dodda Bidarkallu
Revenue Department,Others (JC),Sampangiram Nagar
Revenue Department,Others (JC),Doddanekkundi
Others,Others,Mahalakshmipuram
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Kushal Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Madiwala
veterinary,Fatally injured - Needs immediate attention,Dharmarayaswamy Temple Ward
Health Dept,Fogging,Ulsoor
Plastic,Use of banned single use plastic,Hebbal
Lakes,Sewage inflow to lake,Ramamurthy Nagar
Road Maintenance(Engg),UnAuthorised Constructions,Pattabhiram Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Jeevanbhima Nagar
BBMP order the park will be open from morning 5 am to night 10 pm. Your request is send to Honorable Chief Commissioner and mean you also request to Honorable Chief Commissioner,Shankar Murthy/HS,,
veterinary,Stray/Rabid dog bite,Attiguppe
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Jayanagar East
Road Maintenance(Engg),UnAuthorised Constructions,Yelachenahalli
Health Dept,Unhygienic premises in Hotel etc,Bagalagunte
Health Dept,Spraying,Neelasandra
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Madiwala
Projects Central,Street light issues,Jnanabharathi Ward
veterinary,Fatally injured - Needs immediate attention,Kamakshipalya
Revenue Department,Unable to generate the property tax challan,Lakshmidevi Nagar
Forest,Issues related Snakes/Birds/Monkeys,Kammanahalli
Call Center,Call center Issues,Basavanapura
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Maruthi Seva Nagar
Health Dept,Spraying,Sampangiram Nagar
E khata / Khata services,ekhata approval pending with ARO,Chamrajpet
veterinary,Fatally injured - Needs immediate attention,BTM Layout
Road Maintenance(Engg),UnAuthorised Constructions,Newthippasandra
Town Planning,UnAuthorised Building Constructions,HSR Layout
veterinary,Stray dog related complaints,Cottonpet
E khata / Khata services,Ekhata - name correction,Mallasandra
Road Maintenance(Engg),footpath encroachment,Karisandra
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Uttarahalli
Parks and Play grounds,Environmental protection,Bellandur
E khata / Khata services,eKhata - name Mismatch,Jakkur
Road Maintenance(Engg),Road cutting,Devasandra
